"Filename","New_Process_Name"
"winrs.exe","c:\windows\syswow64\winrs.exe"
"winrshost.exe","c:\windows\syswow64\winrshost.exe"
"winver.exe","c:\windows\syswow64\winver.exe"
"wowreg32.exe","c:\windows\syswow64\wowreg32.exe"
"write.exe","c:\windows\syswow64\write.exe"
"wscript.exe","c:\windows\syswow64\wscript.exe"
"wsmanhttpconfig.exe","c:\windows\syswow64\wsmanhttpconfig.exe"
"wsmprovhost.exe","c:\windows\syswow64\wsmprovhost.exe"
"wuapp.exe","c:\windows\syswow64\wuapp.exe"
"wusa.exe","c:\windows\syswow64\wusa.exe"
"wwahost.exe","c:\windows\syswow64\wwahost.exe"
"xcopy.exe","c:\windows\syswow64\xcopy.exe"
"xwizard.exe","c:\windows\syswow64\xwizard.exe"
"aitagent.exe","c:\windows\system32\aitagent.exe"
"aitstatic.exe","c:\windows\system32\aitstatic.exe"
"alg.exe","c:\windows\system32\alg.exe"
"appidcertstorecheck.exe","c:\windows\system32\appidcertstorecheck.exe"
"appidpolicyconverter.exe","c:\windows\system32\appidpolicyconverter.exe"
"arp.exe","c:\windows\system32\arp.exe"
"at.exe","c:\windows\system32\at.exe"
"atbroker.exe","c:\windows\system32\atbroker.exe"
"attrib.exe","c:\windows\system32\attrib.exe"
"audiodg.exe","c:\windows\system32\audiodg.exe"
"auditpol.exe","c:\windows\system32\auditpol.exe"
"authhost.exe","c:\windows\system32\authhost.exe"
"autochk.exe","c:\windows\system32\autochk.exe"
"autoconv.exe","c:\windows\system32\autoconv.exe"
"autofmt.exe","c:\windows\system32\autofmt.exe"
"autoworkplace.exe","c:\windows\system32\autoworkplace.exe"
"backgroundtaskhost.exe","c:\windows\system32\backgroundtaskhost.exe"
"backgroundtransferhost.exe","c:\windows\system32\backgroundtransferhost.exe"
"bcdboot.exe","c:\windows\system32\bcdboot.exe"
"bcdedit.exe","c:\windows\system32\bcdedit.exe"
"bitsadmin.exe","c:\windows\system32\bitsadmin.exe"
"bootcfg.exe","c:\windows\system32\bootcfg.exe"
"bootim.exe","c:\windows\system32\bootim.exe"
"bridgeunattend.exe","c:\windows\system32\bridgeunattend.exe"
"bytecodegenerator.exe","c:\windows\system32\bytecodegenerator.exe"
"cacls.exe","c:\windows\system32\cacls.exe"
"calc.exe","c:\windows\system32\calc.exe"
"ceipdata.exe","c:\windows\system32\ceipdata.exe"
"certenrollctrl.exe","c:\windows\system32\certenrollctrl.exe"
"certreq.exe","c:\windows\system32\certreq.exe"
"certutil.exe","c:\windows\system32\certutil.exe"
"change.exe","c:\windows\system32\change.exe"
"changepk.exe","c:\windows\system32\changepk.exe"
"checknetisolation.exe","c:\windows\system32\checknetisolation.exe"
"chglogon.exe","c:\windows\system32\chglogon.exe"
"chgport.exe","c:\windows\system32\chgport.exe"
"chgusr.exe","c:\windows\system32\chgusr.exe"
"chkdsk.exe","c:\windows\system32\chkdsk.exe"
"chkntfs.exe","c:\windows\system32\chkntfs.exe"
"choice.exe","c:\windows\system32\choice.exe"
"cipher.exe","c:\windows\system32\cipher.exe"
"cliconfg.exe","c:\windows\system32\cliconfg.exe"
"clip.exe","c:\windows\system32\clip.exe"
"cmd.exe","c:\windows\system32\cmd.exe"
